9780124884403	The chronic crisis in psychological measurement and assessment,a historical survey	Scott T. Meier			1994-09	Academic Press						ZZZ000000
9781568810997	Drawbridge up,mathematics--a cultural anathema	Hans Magnus Enzensberger		This bilingual edition (German/English) of the talk given at the International Congress of Mathematicians, Berlin, 1998, with illustrations by K.H. Hofmann and an introduction by David Mumford, discusses the role of mathematics within our culture.	1999	A.K. Peters						ZZZ000000
9788184082326	The Whole Digital Library Handbook	Diane Kresh		Essential facts, advice, lists, documents, guidelines, lore, wit, and wisdom: Along with fun and irreverence, it's what readers have come to expect from the Whole Library series. In a one-volume compendium that's by turns encyclopedic, useful, and engaging, this latest entry provides an overview of digital libraries, covering the state of information, issues, customers, challenges, tools and technology, preservation, and the future. From blogs to Wikis, highlights include: digitization project planning tips and tools; the value proposition of the digital library; lists of Internet libraries	2007-01-01	Indiana Publishing House						ZZZ000000
9788184082388	Understanding Information Systems	Lee Ratzan		In a world awash in data, information systems help provide structure and access to information. Since libraries build, manage, and maintain information systems, librarians and LIS students are often propelled onto the front lines of interactions between library users and technology. But what do librarians need to know to best meet their patron's needs? What exactly are information systems and how do they work? Information expert Ratzan uses plain language, humor, and everyday examples like baseball and arithmetic to make sense of information systems (computer hardware, software, databases, the Internet). He also explores their characteristics, uses, abuses, advantages, and shortcomings for your library. Fun exercises and appendixes are provided to illustrate key points in the book and measure understanding. You can be a technophobe and still learn about systems and subsystems to represent, organize, retrieve, network, secure, conceal, measure, and manage information.This basic introduction addresses both theoretical and practical issues, including: What questions to ask technology vendors to meet your library's needs; When technology may not be the solution to a problem; Secrets for managing an information system; How to make your information system a success; LIS instructors and students, IT staff, digital librarians, library generalists and managers will welcome this expert sourcebook, complete with exercises, references, examples, terms, and charts that clarify concepts.	2008-01-01	Indiana Publishing House						ZZZ000000
9780821827444	Mirror Symmetry II	B. Greene&S. T. Yau		Mirror Symmetry has undergone dramatic progress since the Mathematical Sciences Research Institute (MSRI) workshop in 1991, whose proceedings constitute voluem I of this continuing collection. Tremendous insight has been gained on a number of key issues. This volume surveys these results. Some of the contributions in this work have appeared elsewhere, while others were written specifically for this collection. The areas covered are organized into 4 sections, and each presents papers by both physicists and mathematicians. This volume collects the most important developments that have taken place in mathematical physics since 1991. It is an essential reference tool for both mathematics and physics libraries and for students of physics and mathematics. Titles in this series are co-published, between the American Mathematical Society and International Press, Cambridge, MA, USA.	2001	AMS Bookstore						ZZZ000000
9780821835500	Logic's lost genius,the life of Gerhard Gentzen	Eckart Menzler-Trott		Gerhard Gentzen (1909-1945) is the founder of modern structural proof theory. His lasting methods, rules, and structures resulted not only in the technical mathematical discipline called ''proof theory'' but also in verification programs that are essential in computer science. The appearance, clarity, and elegance of Gentzen's work on natural deduction, the sequent calculus, and ordinal proof theory continue to be impressive even today. The present book gives the first comprehensive, detailed, accurate scientific biography expounding the life and work of Gerhard Gentzen, one of our greatest logicians, until his arrest and death in Prague in 1945. Particular emphasis in the book is put on the conditions of scientific research, in this case mathematical logic, in National Socialist Germany, the ideological fight for ''German logic'', and their mutual protagonists. Numerous hitherto unpublished sources, family documents, archival material, interviews, and letters, as well as Gentzen's lectures for the mathematical public, make this book an indispensable source of information on this important mathematician, his work, and his time. The volume is completed by two deep substantial essays by Jan von Plato and Craig Smorynski on Gentzen's proof theory; its relation to the ideas of Hilbert, Brouwer, Weyl, and Godel; and its development up to the present day. Smorynski explains the Hilbert program in more than the usual slogan form and shows why consistency is important. Von Plato shows in detail the benefits of Gentzen's program. This important book is a self-contained starting point for any work on Gentzen and his logic. The book is accessible to a wide audience with different backgrounds and is suitable for general readers, researchers, students, and teachers. Information for our distributors: Co-published with the London Mathematical Society beginning with Volume 4. Members of the LMS may order directly from the AMS at the AMS member price. The LMS is registered with the Charity Commissioners.	2007-11-21	AMS Bookstore						ZZZ000000
9780821848623	A (terse) introduction to Lebesgue integration	John M. Franks			2009	AMS Bookstore						ZZZ000000
9781555810696	Scientific integrity,an introductory text with cases	Francis L. Macrina		Until now, there has been no single true textbook that can be used to teach this important subject. Scientific Integrity: An Introductory Text with Cases was developed specifically to cover broad areas of scientific integrity and to meet the needs of today's graduate students and scientists working in the biomedical sciences. Case studies that parallel the material presented in the chapters are included in order to illustrate the diversity of issues that have been identified under the umbrella of scientific integrity.Although the focus is directed at the biomedical and natural sciences, this book serves all sciences where conduct and scientific skills are taught and practiced.	1995	ASM Press						ZZZ000000
9781555811655	Campylobacter	Irving Nachamkin&Martin J. Blaser		This comprehensive resource is a state-of-the-art compendium of the knowns and unknowns in the field of "Campylobacteriology." A successor to the 1992 volume Cam-pylobacter jejuni: Current Status and Future Trends, it reviews the major developments in the clinical management of Campylobacter jejuni infections, which are now recognized as the most common food-borne bacterial infections in the United States. While the major focus remains C. jejuni, the editors have broadened the book's scope to include related species. Valuable reading for all clinicians, scientists, ecologists, public health workers, and government regulators.	2000-06-15	ASM Press						ZZZ000000
9788172760748	Dharma,the global ethic	Mandagadde Rama Jois			1996	Bharatiya Vidya Bhavan						ZZZ000000
9788172762353	Bhagavadgita For Executives	V. Ramanathan			1982	Bharatiya Vidya Bhavan						ZZZ000000
